Elementos,OBSERVACIONES,Estado,Uso,Ubicación,Destino,Observaciones,Movimiento,Fecha,Ubicación original,Destino original,Clasificación RUBA,Carga Ruba,ESTADO,NUEVA UBICACIÓN,DESTINO,OPERADOR,Fecha actualización Inventario,Operador carga
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Usado,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Usado,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Usado,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 100,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,,,,,,,,
Casco Bombero Sicor Rojo,Bravo 101,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,8/12/2018,Destacamento,Almacén,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 105,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 106,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,7/25/2021,Destacamento,Almacén,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 107,Usado,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,7/25/2021,Destacamento,Almacén,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 112,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 114,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,9/26/2021,Destacamento,Almacén,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 115,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,,,,,,,,
Casco Bombero Sicor Rojo,Bravo 116,Usado,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,,,,,,,,
Casco Bombero Sicor Rojo,Bravo 118,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 24,Usado,Sí,Destacamento,Almacén, ,Modificación,6/12/2022,Personal BVU,Equipamiento,, ,,,,Bravo 4,6/13/2022,Bravo 9
Casco Bombero Sicor Rojo,Bravo 25,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,9/26/2021,Destacamento,Almacén,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 33,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 39,Usado,No,Destacamento,Almacén, ,Modificación,8/11/2024,Personal BVU,Equipamiento,, ,,,,Bravo 4,8/24/2024,Bravo 9
Casco Bombero Sicor Rojo,Bravo 42,Usado,No,Destacamento,Almacén, ,Modificación,8/11/2024,Personal BVU,Equipamiento,, ,,,,Bravo 4,8/24/2024,Bravo 9
Casco Bombero Sicor Rojo,Bravo 43,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 44,Usado,Sí,Destacamento,Almacén, ,Modificación,6/12/2022,Personal BVU,Equipamiento,, ,,,,Bravo 4,6/13/2022,Bravo 9
Casco Bombero Sicor Rojo,Bravo 45,Usado,Sí,Destacamento,Almacén, ,Modificación,6/12/2022,Personal BVU,Equipamiento,, ,,,,Bravo 4,6/13/2022,Bravo 9
Casco Bombero Sicor Rojo,Bravo 46,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 48,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 64,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 67,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 70,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 78,Usado,No,Destacamento,Almacén, ,Modificación,8/11/2024,Personal BVU,Equipamiento,, ,,,,Bravo 4,8/24/2024,Bravo 9
Casco Bombero Sicor Rojo,Bravo 82,Usado,No,Destacamento,Almacén, ,Modificación,8/11/2024,Personal BVU,Equipamiento,, ,,,,Bravo 4,8/24/2024,Bravo 9
Casco Bombero Sicor Rojo,Bravo 83,Usado,No,Destacamento,Almacén, ,Modificación,8/11/2024,Personal BVU,Equipamiento,, ,,,,Bravo 4,8/24/2024,Bravo 9
Casco Bombero Sicor Rojo,Bravo 84,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 87,Usado,No,Destacamento,Almacén, ,Modificación,8/11/2024,Personal BVU,Equipamiento,, ,,,,Bravo 4,8/24/2024,Bravo 9
Casco Bombero Sicor Rojo,Bravo 88,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 89,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 92,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 94,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 95,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Bravo 97,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Casco Bombero Sicor Rojo,Natalia Cañete,Bueno,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,11/19/2022,Destacamento,Almacén,,,,,,Bravo 4,1/26/2023,Bravo 9
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Brigadista Forestal, ,Nuevo,No,Destacamento,Galpón, ,,,,,, ,,,,,,
Casco Camp blanco, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Camp blanco, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Camp blanco, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Camp blanco, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Camp blanco, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco marca Petzl modelo VERTEX VENT, ,Bueno,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco marca Petzl modelo VERTEX VENT, ,Bueno,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco marca Petzl modelo VERTEX VENT, ,Bueno,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco marca Petzl modelo VERTEX VENT, ,Bueno,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco marca Petzl modelo VERTEX VENT, ,Bueno,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco marca Petzl modelo VERTEX VENT, ,Bueno,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco moto, ,Bueno,No,Destacamento,Almacén,,,,,,,,,,,,,
Casco moto, ,Bueno,No,Destacamento,Almacén,,,,,,,,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco Neoprene Buceo, ,Nuevo,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Casco reflectivo amarillo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco reflectivo amarillo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco reflectivo amarillo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco reflectivo amarillo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco reflectivo amarillo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco rescate Marca Leader amarillo, ,Nuevo,Sí,Cuartel Central,Unidad 9,RTC,,,,,, ,,,,,,
Casco Trekking Edelrio Talle L,Comodato Federación TDF,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Trekking Edelrio Talle L,Comodato Federación TDF,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Trekking Edelrio Talle L,Comodato Federación TDF,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Casco Trekking Edelrio Talle L,Comodato Federación TDF,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
"Catre metálico de tela 24"" x 72"" x 7""", ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
"Catre metálico de tela 24"" x 72"" x 7""", ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Celular 1551 9598, ,Bueno,Sí,Destacamento,Almacén, ,,,,,, ,,,,,,
Celular 1551 9599, ,Bueno,Sí,Destacamento,Almacén, ,,,,,, ,,,,,,
Celular 1551 9600, ,Bueno,Sí,Destacamento,Almacén, ,,,,,, ,,,,,,
Celular 1551 9600, ,Bueno,Sí,Destacamento,Almacén, ,,,,,, ,,,,,,
Celular 1551 9600, ,Bueno,Sí,Destacamento,Almacén, ,,,,,, ,,,,,,
Celular 1551 9607, ,Bueno,Sí,Destacamento,Almacén, ,,,,,, ,,,,,,
Central telefónica (4 internos), ,Bueno,Sí,Destacamento,Oficina guardia, ,,,,,, ,,,,,,
Central Telefónica Marca Panasonic, ,Bueno,Sí,Cuartel Central,Oficina Guardia, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco compensador buceo, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de extricación normal, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación normal, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación normal, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación normal, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación normal, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 3, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 3, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 3, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 3, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 3, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 3, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 9, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 9, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 9, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 9, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación normal, ,Bueno,Sí,Cuartel Central,Unidad 9, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco de extricación pediátrico, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación pediátrico, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación pediátrico, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación pediátrico, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de extricación pediátrico, ,Nuevo,No,Cuartel Central,Almacén, ,Alta,5/13/2019,Comercio,,Primeros Auxilios,,,,,Bravo 2,5/31/2019,Bravo 9
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco de Neoprene, ,Bueno,Sí,Cuartel Central,Sala Buceo, ,,,,,, ,,,,,,
Chaleco Extricación Infantil Full PAPOSSE, ,Bueno,No,Cuartel Central,Depósito Archivo, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco Extricación Infantil Full PAPOSSE, ,Bueno,No,Cuartel Central,Depósito Archivo, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco Extricación Infantil limitador PAPOSSE, ,Bueno,No,Cuartel Central,Depósito Archivo, ,,12/31/2016,,,Primeros Auxilios,Sí,,,,,,
Chaleco reflectivo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Chaleco reflectivo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Chaleco reflectivo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Chaleco reflectivo, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Chomba azul 2016 Talle L, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 112,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,5/7/2022,Destacamento,Almacén,, ,,,,Bravo 4,5/11/2022,Bravo 9
Chomba azul 2016 Talle L,Bravo 13,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 18,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 21,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 22,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 27,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,,,,,,,,
Chomba azul 2016 Talle L,Bravo 32,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 36,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 43,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 45,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 48,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 7,Usado,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,6/1/2018,Destacamento,Almacén,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 7,Usado,Sí,Personal BVU,Equipamiento,Uso Personal,,Bravo 1,6/1/2018,Bravo 9,,,,,,,,
Chomba azul 2016 Talle L,Bravo 70,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 78,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 84,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 9,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 95,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle L,Bravo 97,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle M, ,Usado,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle M, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle M, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle M, ,Usado,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle M, ,Bueno,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 100,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,,,,,,,,
Chomba azul 2016 Talle M,Bravo 101,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,12/22/2018,Destacamento,Almacén,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 103,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,12/22/2018,Destacamento,Almacén,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 105,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,,,,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 25,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 31,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 82,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 88,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,6/1/2018,Destacamento,Almacén,, ,,,,,,
Chomba azul 2016 Talle M,Bravo 89,Usado,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,3/20/2022,Destacamento,Almacén,, ,,,,,,
Chomba azul 2016 Talle S, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle S, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle S, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle S, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle S,Bravo 114,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,5/7/2022,Destacamento,Almacén,, ,,,,Bravo 4,5/11/2022,Bravo 9
Chomba azul 2016 Talle S,Bravo 115,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,5/7/2022,Destacamento,Almacén,, ,,,,Bravo 4,5/11/2022,Bravo 9
Chomba azul 2016 Talle S,Bravo 4,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle S,Bravo 83,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle XL, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle XL, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle XL, ,Nuevo,No,Destacamento,Almacén, ,,,,,, ,,,,,,
Chomba azul 2016 Talle XL,Bravo 1,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,, ,,,,,,
Chomba azul 2016 Talle XL,Bravo 116,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,5/7/2022,Destacamento,Almacén,, ,,,,Bravo 4,5/11/2022,Bravo 9
Chomba azul 2016 Talle XL,Bravo 118,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,5/7/2022,Destacamento,Almacén,, ,,,,Bravo 4,5/11/2022,Bravo 9
